"NAME","ZIP","asset_size","MAINOFF","CERT","OFFNAME"
"Community Bank Of The South","32953","136506.0","1","35212","Community Bank Of The South"
"First Reliance Bank","29501","379416.0","1","35214","First Reliance Bank"
"Flagler Bank","33406","182373.0","1","35218","Flagler Bank"
"Wyoming Community Bank","82501","134774.0","1","35220","Wyoming Community Bank"
"Freedom Bank","47542","365836.0","1","35221","Freedom Bank"
"American Heartland Bank And Trust","60554","145400.0","1","35223","American Heartland Bank And Trust"
"Southern Illinois Bank","62951","103146.0","1","35229","Southern Illinois Bank"
"Evergreen Bank Group","60523","633866.0","1","35230","Evergreen Bank Group"
"Century Bank Of Georgia","30120","169004.0","1","35236","Century Bank Of Georgia"
"John Deere Financial, F.S.b.","53717","2553591.0","1","35237","John Deere Financial, F.S.b."
"South Carolina Community Bank","29201","57282.0","1","35241","South Carolina Community Bank"
"First Alliance Bank","38018","120126.0","1","35245","First Alliance Bank"
"Gwinnett Community Bank","30096","349476.0","1","35249","Gwinnett Community Bank"
"Union Community Bank","17552","501380.0","1","35257","Union Community Bank"
"Community Bank & Trust","37015","201771.0","1","35258","Community Bank & Trust"
"Republic Bank","84010","190439.0","1","35260","Republic Bank"
"Twin City Bank","98632","52037.0","1","35261","Twin City Bank"
"Aig Federal Savings Bank","19809","19302.0","1","35267","Aig Federal Savings Bank"
"River Community Bank, National Association","24112","128110.0","1","35274","River Community Bank, National Association"
"Freedom Bank Of Southern Missouri","65625","250021.0","1","35276","Freedom Bank Of Southern Missouri"
"Capital Bank, National Association","20850","660905.0","1","35278","Capital Bank, National Association"
"Cornerstone Bank","27896","107865.0","1","35284","Cornerstone Bank"
"Cornerstone Bank","8057","234010.0","1","35286","Cornerstone Bank"
"Great American Bank","66047","160798.0","1","35292","Great American Bank"
"Southern First Bank","29607","1116695.0","1","35295","Southern First Bank"
"Old Mission Bank","49783","112300.0","1","35303","Old Mission Bank"
"Florida Business Bank","32935","108701.0","1","35304","Florida Business Bank"
"Cbc National Bank","32034","548342.0","1","35309","Cbc National Bank"
