Content Fulfillment Status,Content Date Fulfilled,Content Topic,Content Link,Account Manager,Opportunity Name,Account Name,Billing State/Province,type,Account Charter Number,certNumber
Posted,7/2/15,CUs vs Banks,https://www.connectedcreditunion.org/files/banks.pdf,Hallie Pond,Connected Credit Union-Content-New Business,Connected Credit Union,ME,cu,62976-cu,62976
Posted,6/15/15,HELOCs,https://www.bankcfcu.org/understanding-credit/things-to-know-about-a-heloc/,Hallie Pond,CORNERSTONE FINANCIAL Credit Union-Content-New Business,CORNERSTONE FINANCIAL Credit Union,TN,cu,67972-cu,67972
Posted,8/20/15,budgeting on vacation,https://mycucommunity.com/blog/2015/07/01/5-ways-to-keep-vacation-overspending-at-bay,Hallie Pond,CU COMMUNITY Credit Union-Content-Existing Business,CU COMMUNITY Credit Union,MO,cu,63411-cu,63411
Posted,5/8/15,,https://www.dfcu.net/News-and-Announcements/NerdWallet-Home-Equity-Loans-Help-Consumers-Cl-(1).aspx#.VU0fDdNVikr,Hallie Pond,DANNEMORA Federal Credit Union-None-New Business,DANNEMORA Federal Credit Union,NY,cu,12473-cu,12473
Posted,5/8/15,HELOC,https://www.dfcu.net/News-and-Announcements/NerdWallet-Home-Equity-Loans-Help-Consumers-Cl-(1).aspx#.VU0fDdNVikr,Hallie Pond,DANNEMORA Federal Credit Union-Content-Existing Business,DANNEMORA Federal Credit Union,NY,cu,12473-cu,12473
Posted,4/24/15,EMV,https://www.dawsonco-opcu.com/wp-content/uploads/2015/04/EMVChipsExplained4-20151.pdf,Hallie Pond,Dawson Co-Op Credit Union-None-New Business,Dawson Co-Op Credit Union,MN,cu,61624-cu,61624
Posted,4/24/15,,https://www.dawsonco-opcu.com/wp-content/uploads/2015/04/EMVChipsExplained4-20151.pdf,Hallie Pond,Dawson Co-Op Credit Union-None-New Business,Dawson Co-Op Credit Union,MN,cu,61624-cu,61624
Posted,4/27/15,Credit,http://dococu.com/blog/2015/04/27/a-credit-overview/,Hallie Pond,DOCO Credit Union-Content-Existing Business,DOCO Credit Union,GA,cu,68618-cu,68618
Posted,5/7/15,,http://dococu.com/blog/2015/05/07/how-to-build-your-credit/,Hallie Pond,DOCO Credit Union-None-New Business,DOCO Credit Union,GA,cu,68618-cu,68618
Posted,4/2/15,,https://www.dominioncu.org/?page=education_homequity_or_heloc,Hallie Pond,DOMINION Credit Union-None-New Business,DOMINION Credit Union,VA,cu,66973-cu,66973
Posted,4/2/15,HEL vs HELOC,https://www.dominioncu.org/?page=education_homequity_or_heloc,Hallie Pond,DOMINION Credit Union-Content-Existing Business,DOMINION Credit Union,VA,cu,66973-cu,66973
Posted,11/2/15,Online Banking,https://www.eccu.org/community/consumerresources/how-to-make-the-most-of-online-banking,Hallie Pond,EVANGELICAL CHRISTIAN Credit Union-Content-New Business,EVANGELICAL CHRISTIAN Credit Union,CA,cu,63837-cu,63837
Posted,11/3/15,Making the most of E-Banking,https://www.fmbankva.com/blog/detail/making-the-most-of-e-banking,Hallie Pond,Farmers & Merchants Bank (VA)-Content-New Business,Farmers & Merchants Bank (VA),VA,bk,8668-bk,8668
Posted,8/31/15,Improving your Credit,http://www.financialbuilders.org/how-to-improve-your-credit.html,Hallie Pond,FINANCIAL BUILDERS Federal Credit Union-Content-New Business,FINANCIAL BUILDERS Federal Credit Union,IN,cu,16213-cu,16213
Posted,6/17/15,Financial Tips,http://www.firstbt.com/blog/saving-advice-millennials/,Hallie Pond,First Bank & Trust (IL)-Content-New Business,First Bank & Trust (IL),IL,bk,34060-bk,34060
Posted,5/8/15,,http://www.firstcapitalfcu.com/services/financial-education/blog.html,Hallie Pond,FIRST CAPITAL Federal Credit Union-None-New Business,FIRST CAPITAL Federal Credit Union,PA,cu,24490-cu,24490
Posted,2/27/15,,http://www.firstcapitalfcu.com/services/financial-education/blog.html,Hallie Pond,FIRST CAPITAL Federal Credit Union-None-New Business,FIRST CAPITAL Federal Credit Union,PA,cu,24490-cu,24490
Posted,10/22/15,*EMV Cards 101,http://www.firstfarmers.com/about/news-archive/article/2015/10/what-are-emv-cards,Hallie Pond,First Farmers State Bank-Content-New Business,First Farmers State Bank,IL,bk,10879-bk,10879
Posted,11/18/15,*Safe Shopping,http://blog.firstfcu.org/how-to-stay-safe-while-holiday-shopping,Hallie Pond,FIRST FINANCIAL Credit Union-Content-New Business,FIRST FINANCIAL Credit Union,IL,cu,68450-cu,68450
Posted,9/11/15,7 banking tips for millennials,https://www.firstipswich.com/assets/documents/7%20Banking%20Tips%20for%20Millennials.pdf,Hallie Pond,First Ipswich Bank-Content-New Business,First Ipswich Bank,MA,bk,2595-bk,2595
Posted,3/12/15,Mortgages,http://www.1stmarinerbank.com/blog/post/2015/03/12/3-Ways-to-Get-Government-Help-with-Buying-a-New-Home.aspx,Hallie Pond,First Mariner Bank-Content-Existing Business,First Mariner Bank,MD,bk,31286-bk,31286
Posted,5/11/15,,https://www.fnbwaupaca.com/2015/05/putting-graduation-gifts-to-good-use/,Hallie Pond,First National Bank (WI)-Content-New Business,First National Bank (WI),WI,bk,15149-bk,15149
Posted,5/21/15,,https://www.fnbn.com/money-moves-to-make-before-shipping-off-to-college-the-first-national-bank-blog/,Hallie Pond,First National Bank and Trust Company of Newtown-Content-New Business,First National Bank and Trust Company of Newtown,PA,bk,7658-bk,7658
Posted,4/7/15,,https://www.fnbn.com/how-to-pick-and-pay-for-the-best-values-in-home-improvement/,Hallie Pond,First National Bank and Trust Company of Newtown-None-New Business,First National Bank and Trust Company of Newtown,PA,bk,7658-bk,7658
Posted,9/30/15,*EMV Cards 101,http://www.fnbfairfieldiowa.com/files/emv_cards_101.pdf,Hallie Pond,First National Bank in Fairfield-Content-New Business,First National Bank in Fairfield,IA,bk,13853-bk,13853
Posted,10/9/15,*5 steps to cut your data security risks,https://www.fnbpasco.com/2015/10/08/five-steps-to-cut-your-data-security-risks/,Hallie Pond,First National Bank of Pasco-Content-New Business,First National Bank of Pasco,FL,bk,26829-bk,26829
Posted,8/31/15,7 banking tips for millenials,https://www.firstcu.com/identity-theft.htm,Hallie Pond,FIRST SERVICE Federal Credit Union-Content-New Business,FIRST SERVICE Federal Credit Union,OH,cu,11170-cu,11170
Posted,11/5/15,26 Month CD Special,http://www.fsbfinancial.com/news/127-5-benefits-of-cds,Hallie Pond,First State Bank of St. Charles, Missouri-Content-New Business,First State Bank of St. Charles, Missouri,MO,bk,12219-bk,12219
Posted,6/22/15,Home Improvements,http://fivecounty.com/pdfs/home-improvements.pdf,Hallie Pond,FIVE COUNTY Credit Union-Content-New Business,FIVE COUNTY Credit Union,ME,cu,67993-cu,67993
Posted,8/6/15,Credit Building,https://www.fortcommunity.com/about-us/blog/building-and-maintaining-a-strong-credit-score,Hallie Pond,FORT COMMUNITY Credit Union-Content-Existing Business,FORT COMMUNITY Credit Union,WI,cu,67184-cu,67184
Posted,9/10/15,Teen Credit Building,https://www.fortcommunity.com/about-us/blog/7-money-saving-tips-for-teens,Hallie Pond,FORT COMMUNITY Credit Union-Content-New Business,FORT COMMUNITY Credit Union,WI,cu,67184-cu,67184
Posted,8/17/15,Banking locally - take charge,http://www.fortknoxfcu.org/cunews.html,Hallie Pond,FORT KNOX Federal Credit Union-Mixed-New Business,FORT KNOX Federal Credit Union,KY,cu,7000-cu,7000
Posted,8/18/15,Fixer Uppers,https://www.greatbasin.org/6741/home-improvements-home-equity/,Hallie Pond,GREAT BASIN Federal Credit Union-Content-Existing Business,GREAT BASIN Federal Credit Union,NV,cu,7063-cu,7063
Posted,2/5/15,,https://www.greateriefcu.com/about-us/news-and-events/15-02-05/How_to_Select_a_Credit_Card.aspx,Hallie Pond,GREAT ERIE Federal Credit Union-Content-Existing Business,GREAT ERIE Federal Credit Union,NY,cu,7925-cu,7925
Posted,2/5/15,,https://www.greateriefcu.com/about-us/news-and-events/15-02-05/How_to_Select_a_Credit_Card.aspx,Hallie Pond,GREAT ERIE Federal Credit Union-None-New Business,GREAT ERIE Federal Credit Union,NY,cu,7925-cu,7925
Posted,5/18/15,Rent or Buy,https://www.glcu.org/about_us/blog/money_smarts/?news_cat=money_smarts&news_article=renting_vs_buying_a_home,Hallie Pond,GREAT LAKES Credit Union-Content-New Business,GREAT LAKES Credit Union,IL,cu,60238-cu,60238
Posted,4/21/15,,https://www.glcu.org/about_us/blog/money_smarts/?news_cat=money_smarts&news_article=protect_yourself_by_understanding_your_consumer_rights,Hallie Pond,GREAT LAKES Credit Union-None-New Business,GREAT LAKES Credit Union,IL,cu,60238-cu,60238
Posted,11/6/15,CUs vs Banks,https://www.greylock.org/how_credit_unions_compare_with_banks.html,Hallie Pond,GREYLOCK Federal Credit Union-Content-New Business,GREYLOCK Federal Credit Union,MA,cu,24560-cu,24560
Posted,7/23/15,When to get A Bill Consolidation Loan,https://www.hecoefcu.org/when-to-consider-a-bill-consolidation-loan/,Hallie Pond,HAWAIIAN ELECTRIC EMPLOYEES Federal Credit Union-Content-New Business,HAWAIIAN ELECTRIC EMPLOYEES Federal Credit Union,HI,cu,1869-cu,1869
Posted,4/6/15,,https://www.hawaiifcu.org/pdf/NL-apr-jun15.pdf,Hallie Pond,HAWAII Federal Credit Union-None-New Business,HAWAII Federal Credit Union,HI,cu,2403-cu,2403
Posted,4/6/15,,https://www.hawaiifcu.org/pdf/NL-apr-jun15.pdf,Hallie Pond,HAWAII Federal Credit Union-Content-Existing Business,HAWAII Federal Credit Union,HI,cu,2403-cu,2403
Posted,4/14/15,,https://heritage.secure-loancenter.com/PageContent.aspx?PageID=52,Hallie Pond,HERITAGE Credit Union-None-New Business,HERITAGE Credit Union,WI,cu,68385-cu,68385
Posted,6/12/15,Raising Credit Limit,https://www.heritagecu.org//assets/docs/Newsletter.pdf,Hallie Pond,HERITAGE Credit Union-Content-New Business,HERITAGE Credit Union,WI,cu,68385-cu,68385
Posted,5/20/15,Setting Up for Financial Independence,https://www.heritagesouth.org/Articles/bmaking_good_financial_decisions_after_high_schoolb.aspx,Hallie Pond,HERITAGE SOUTH COMMUNITY Credit Union-Content-New Business,HERITAGE SOUTH COMMUNITY Credit Union,TN,cu,67748-cu,67748
Posted,5/25/15,Car Loans,http://blog.heritagevalleyfcu.org/2015/05/how-to-finance-your-new-car/,Hallie Pond,HERITAGE VALLEY Federal Credit Union-Content-New Business,HERITAGE VALLEY Federal Credit Union,PA,cu,303-cu,303
Posted,5/18/15,Financial Independence,https://www.ksucreditunion.com/Latest-News/First-Steps-to-Financial-Independence.aspx,Hallie Pond,KANSAS STATE UNIVERSITY Federal Credit Union-Content-New Business,KANSAS STATE UNIVERSITY Federal Credit Union,KS,cu,5257-cu,5257
Posted,6/1/15,,http://www.lancofcu.com/debt-protection/protecting-against-heavy-damage.html,Hallie Pond,Lanco Federal Credit Union-Content-New Business,Lanco Federal Credit Union,PA,cu,16657-cu,16657
Posted,4/24/15,,https://www.launchatleaders.com/news/blog/view/3/77#.VUOwr9NVikp,Hallie Pond,LEADERS Credit Union-Content-Existing Business,LEADERS Credit Union,TN,cu,61185-cu,61185
Posted,4/24/15,,https://www.launchatleaders.com/news/blog/view/3/77#.VUOwr9NVikp,Hallie Pond,LEADERS Credit Union-None-New Business,LEADERS Credit Union,TN,cu,61185-cu,61185
Posted,1/29/15,ID Theft,http://blog.lonestarcu.org/bid/359838/How-to-Avoid-Identity-Theft-by-Hackers-Dumpster-Divers-and-Snoops,Hallie Pond,LONE STAR Credit Union-Content-Existing Business,LONE STAR Credit Union,TX,cu,68449-cu,68449
Posted,1/29/15,,http://blog.lonestarcu.org/bid/359838/How-to-Avoid-Identity-Theft-by-Hackers-Dumpster-Divers-and-Snoops,Hallie Pond,LONE STAR Credit Union-None-New Business,LONE STAR Credit Union,TX,cu,68449-cu,68449
Posted,2/2/15,Kids and Saving,http://www.lusofederal.com/Newsletters/Newsletter_TWB.pdf,Hallie Pond,LUSO Federal Credit Union-Content-Existing Business,LUSO Federal Credit Union,MA,cu,20600-cu,20600
Posted,2/2/15,,http://www.lusofederal.com/Newsletters/Newsletter_TWB.pdf,Hallie Pond,LUSO Federal Credit Union-None-New Business,LUSO Federal Credit Union,MA,cu,20600-cu,20600
Posted,9/16/15,Savings Accounts for Youngsters,http://www.lusofederal.com/documents/2015/03/soaring-savings-for-wilbraham-middle-school.pdf,Hallie Pond,LUSO Federal Credit Union-Content-New Business,LUSO Federal Credit Union,MA,cu,20600-cu,20600
